# Rime user dictionary
#@/db_name	dicts
#@/db_type	userdb
#@/rime_version	1.11.2
#@/tick	127284
#@/user_id	sync
a 	啊	c=227 d=2.80092 t=127284
duo cai 	多彩	c=2 d=2.26964e-16 t=127284
duo chuang kou 	多窗口	c=2 d=1.81966e-05 t=127284
duo ci 	多次	c=13 d=0.954397 t=127284
duo da 	多大	c=4 d=0.818829 t=127284
duo de 	多的	c=1 d=6.71119e-15 t=127284
duo duan 	多段	c=1 d=5.76539e-22 t=127284
duo duan 	多端	c=5 d=0.771052 t=127284
duo dui 	多對	c=1 d=6.30297e-12 t=127284
duo duo 	多多	c=4 d=1.07369 t=127284
duo fa dian 	多發電	c=1 d=1.61745e-10 t=127284
duo fan shi 	多範式	c=2 d=0.191092 t=127284
duo ge 	多個	c=82 d=2.90901 t=127284
duo gong neng 	多功能	c=2 d=2.06569e-34 t=127284
duo guo 	多國	c=2 d=0.000524024 t=127284
duo hang 	多行	c=5 d=0.164474 t=127284
duo hao 	多好	c=1 d=1.10438e-21 t=127284
duo he 	多核	c=1 d=1.66926e-28 t=127284
duo jin cheng 	多进程	c=2 d=0.153478 t=127284
duo jiu 	多久	c=4 d=0.0112769 t=127284
duo kuai 	多塊	c=1 d=9.96029e-13 t=127284
duo le 	多了	c=10 d=0.631284 t=127284
duo lu 	多路	c=1 d=0.0246597 t=127284
duo lu fu yong 	多路復用	c=2 d=0.247833 t=127284
duo lun 	多輪	c=1 d=0.955997 t=127284
duo men 	多門	c=1 d=0.650509 t=127284
duo men 	奪門	c=1 d=0.647265 t=127284
duo mo tai 	多模態	c=5 d=3.81113e-05 t=127284
duo mo xing 	多模型	c=1 d=9.25978e-08 t=127284
duo mu biao 	多目標	c=2 d=7.87754e-17 t=127284
duo qiang 	多強	c=1 d=8.80818e-08 t=127284
duo qing 	多情	c=2 d=0.118944 t=127284
duo ren 	多人	c=2 d=6.80077e-16 t=127284
duo sa hou 	多撒後	c=1 d=0.000199439 t=127284
duo shao 	多少	c=79 d=3.00433 t=127284
duo shao ge 	多少個	c=2 d=0.00346515 t=127284
duo shao kuai 	多少塊	c=1 d=0.13068 t=127284
duo shao nian 	多少年	c=1 d=2.6661e-66 t=127284
duo shao qian 	多少錢	c=1 d=1.69772e-21 t=127284
duo shao wei 	多少位	c=1 d=5.55951e-06 t=127284
duo tai 	多态	c=1 d=0.271173 t=127284
duo tai 	多胎	c=1 d=0.351692 t=127284
duo tiao 	多條	c=1 d=0.000129737 t=127284
duo wei 	多維	c=2 d=0.000214961 t=127284
duo wen jian 	多文件	c=2 d=0.677057 t=127284
duo wen ti 	多問題	c=1 d=0.000151489 t=127284
duo xian cheng 	多線程	c=9 d=1.05488 t=127284
duo yang hua 	多樣化	c=1 d=5.27562e-07 t=127284
duo yong hu 	多用戶	c=1 d=0.00349997 t=127284
duo you 	多有	c=1 d=1.28224e-13 t=127284
duo yu 	多餘	c=1 d=0.000170803 t=127284
duo yu de 	多餘的	c=1 d=8.30088e-16 t=127284
duo yue 	多月	c=0 d=1.58294e-22 t=127284
duo zhan 	多站	c=1 d=1.13705e-11 t=127284
duo zhang 	多張	c=4 d=0.000147308 t=127284
duo zhong 	多種	c=5 d=0.0109436 t=127284
duo zi jie 	多字節	c=3 d=2.16004e-06 t=127284
e 	額	c=3 d=7.33697e-05 t=127284
e bu si 	餓不死	c=1 d=0.0893673 t=127284
e chou 	惡臭	c=6 d=0.0202419 t=127284
e du 	額度	c=21 d=0.57166 t=127284
e gao 	惡搞	c=4 d=1.99134 t=127284
e ji 	惡極	c=1 d=1.62666e-18 t=127284
e luo si 	俄羅斯	c=6 d=0.460704 t=127284
e meng 	噩夢	c=1 d=0.740818 t=127284
e mo 	惡魔	c=3 d=0.282828 t=127284
e o 	呃喔	c=1 d=0.000534061 t=127284
e si 	餓死	c=2 d=0.960789 t=127284
e wai 	額外	c=23 d=0.833735 t=127284
e wai de 	額外的	c=1 d=0.239309 t=127284
e xin 	噁心	c=1 d=1.56746e-23 t=127284
e yi 	惡意	c=2 d=1.67045e-07 t=127284
eh 	誒	c=0 d=1.31698e-05 t=127284
ei 	誒	c=1 d=2.1188e-11 t=127284
en 	嗯	c=3 d=0.109154 t=127284
en 	恩	c=1 d=0.0229371 t=127284
en na 	恩納	c=0 d=7.94804e-06 t=127284
en na ge gai 	恩哪個該	c=1 d=1.12903e-16 t=127284
en ren 	恩人	c=1 d=3.75631e-11 t=127284
en yuan 	恩怨	c=1 d=2.7588e-27 t=127284
eng neng 	嗯能	c=1 d=0.000420107 t=127284
er 	二	c=31 d=1.49425 t=127284
er 	兒	c=8 d=1.4366 t=127284
er 	而	c=59 d=1.10925 t=127284
er ban 	二班	c=3 d=0.0311788 t=127284
er bei 	二倍	c=2 d=4.72255e-06 t=127284
er bu 	而不	c=1 d=9.44493e-35 t=127284
er bu hui 	而不會	c=1 d=7.43368e-12 t=127284
er bu shi 	而不是	c=71 d=0.798092 t=127284
er bu yong 	而不用	c=1 d=0.000237581 t=127284
er cha 	二叉	c=7 d=4.1387 t=127284
er cha dui 	二叉堆	c=1 d=0.965605 t=127284
er cha shu 	二叉樹	c=8 d=0.803337 t=127284
er cheng 	而成	c=1 d=0.140858 t=127284
er ci 	二次	c=2 d=0.0106202 t=127284
er ci yuan 	二次元	c=1 d=2.99122e-08 t=127284
er dan 	二蛋	c=1 d=0.000127806 t=127284
er dao 	二道	c=2 d=2.87687e-20 t=127284
er fan er 	而反而	c=1 d=4.5595e-26 t=127284
er fei 	而非	c=5 d=1.60712 t=127284
er fen 	二分	c=1 d=0.00506703 t=127284
er hou 	而後	c=2 d=0.110421 t=127284
er ji 	二級	c=1 d=9.47775e-17 t=127284
er ji 	耳機	c=1 d=8.89822e-10 t=127284
er jin zhi 	二進制	c=15 d=0.522046 t=127284
er lai 	而來	c=1 d=0.00111378 t=127284
er ni 	而你	c=0 d=0.000990218 t=127284
er qi 	二期	c=1 d=1.18652e-12 t=127284
er qi 	而其	c=1 d=8.98612e-08 t=127284
er qi 	而起	c=1 d=3.2398e-06 t=127284
er qie 	而且	c=96 d=1.3612 t=127284
er ren 	二人	c=2 d=1.44137 t=127284
er shi 	二是	c=1 d=0.255381 t=127284
er shi 	而是	c=16 d=0.125556 t=127284
er shi si 	二十四	c=1 d=1.0417e-10 t=127284
er xing 	二星	c=1 d=0.904837 t=127284
er yan 	而言	c=3 d=0.0550232 t=127284
er ye 	二爺	c=2 d=1.29518 t=127284
er yi 	而已	c=10 d=0.271069 t=127284
er yong 	而用	c=1 d=7.99332e-13 t=127284
er you 	而有	c=0 d=1.59749e-12 t=127284
er you shi 	而有時	c=1 d=1.6055e-11 t=127284
er yuan 	二元	c=1 d=7.69716e-10 t=127284
er zhe 	二者	c=14 d=0.65654 t=127284
er zi 	兒子	c=2 d=0.591555 t=127284
fa 	法	c=14 d=0.945748 t=127284
fa 	發	c=25 d=0.1408 t=127284
fa bu 	發佈	c=19 d=0.771214 t=127284
fa chu 	發出	c=2 d=4.95194e-12 t=127284
fa chu lai 	發出來	c=1 d=0.0753961 t=127284
fa dao 	發到	c=2 d=1.52188e-14 t=127284
fa de 	發的	c=1 d=1.66621e-06 t=127284
fa dian 	發電	c=0 d=1.60938e-11 t=127284
fa dong ji 	發動機	c=0 d=2.20452e-07 t=127284
fa fa 	發發	c=0 d=0.00461896 t=127284
fa fa fa 	法發發	c=1 d=0.0464212 t=127284
fa ge 	發個	c=2 d=3.51202e-14 t=127284
fa hui 	發揮	c=8 d=0.318224 t=127284
fa jiao si liao 	發酵飼料	c=0 d=5.3952e-07 t=127284
fa jiao si liao ku 	發酵飼料庫	c=1 d=5.97266e-06 t=127284
fa jiao si liao ku de fang jian she kai fa jian she liu kuai fu ji ke long 	發酵飼料庫地方建設開發建設六塊腹肌克隆	c=1 d=5.53179e-06 t=127284
fa jue 	發覺	c=0 d=4.37622e-07 t=127284
fa jue a shen ke long fa dong ji a la ke 	發覺阿什克隆發動機阿拉克	c=1 d=2.21557e-06 t=127284
fa jue li kun jin fa le 	發覺力困筋乏了	c=1 d=2.18259e-06 t=127284
fa ka 	發卡	c=1 d=0.000223746 t=127284
fa la 	法拉	c=0 d=2.18259e-07 t=127284
fa lan ke 	法蘭克	c=0 d=6.02273e-07 t=127284
fa lao sao 	發牢騷	c=0 d=7.74738e-07 t=127284
fa lao sao kan feng jing a long suo kuai ji fa kuan la se jie fang lu kuan 	發牢騷看風景阿隆索會計法寬垃圾解放路寬	c=1 d=2.22668e-06 t=127284
fa le 	發了	c=11 d=0.806541 t=127284
fa le ge 	發了個	c=1 d=5.03645e-20 t=127284
fa lv 	法律	c=1 d=2.20602e-14 t=127284
fa ming 	發明	c=1 d=5.70219e-10 t=127284
fa nan 	發難	c=0 d=0.000246639 t=127284
fa nan o 	發難哦	c=1 d=0.00247875 t=127284
fa qi 	發起	c=24 d=0.517789 t=127284
fa qi le 	發起了	c=1 d=0.242926 t=127284
fa she 	發射	c=0 d=1.56799e-28 t=127284
fa she ne ge 	發射呢個	c=1 d=1.57585e-27 t=127284
fa sheng 	發生	c=45 d=1.12901 t=127284
fa sheng le 	發生了	c=2 d=0.00548905 t=127284
fa sheng shi 	發生時	c=2 d=3.9326e-30 t=127284
fa shi 	法師	c=1 d=0.895834 t=127284
fa shi 	發誓	c=1 d=0.486752 t=127284
fa song 	發送	c=89 d=2.17888 t=127284
fa song gei 	發送給	c=2 d=4.29105e-18 t=127284
fa tie 	發帖	c=1 d=0.400517 t=127284
fa wen 	發文	c=1 d=2.5334e-28 t=127284
fa wen jian 	發文件	c=1 d=0.062662 t=127284
fa wen ren 	發文人	c=1 d=2.24203e-28 t=127284
fa wo 	法我	c=1 d=0.000497955 t=127284
fa wo 	發我	c=1 d=2.11916e-12 t=127284
fa xia 	罰下	c=0 d=0.0172907 t=127284
fa xian 	發現	c=78 d=2.29348 t=127284
fa xian ge 	發現個	c=1 d=0.000569928 t=127284
fa xiang 	發祥	c=1 d=1.58375e-27 t=127284
fa xing 	發行	c=2 d=0.0057405 t=127284
fa xing ban 	發行版	c=7 d=0.366324 t=127284
fa yin 	發音	c=1 d=0.802519 t=127284
fa ze 	法則	c=1 d=0.748264 t=127284
fa zhan 	發展	c=5 d=0.38868 t=127284
fa zhen 	發疹	c=1 d=5.32954e-09 t=127284
fa zhi 	法制	c=1 d=0.932394 t=127284
fan 	凡	c=13 d=0.28185 t=127284
fan 	反	c=5 d=0.634448 t=127284
fan 	煩	c=2 d=0.0184074 t=127284
fan 	犯	c=2 d=4.52823e-22 t=127284
fan 	番	c=2 d=0.940879 t=127284
fan 	飯	c=3 d=8.49497e-05 t=127284
fan bei 	翻倍	c=1 d=0.0113902 t=127284
fan chi 	飯吃	c=2 d=0.514274 t=127284
fan dai 	反代	c=2 d=1.08757e-17 t=127284
fan er 	反而	c=3 d=0.0147723 t=127284
fan fa 	犯法	c=1 d=4.77358e-07 t=127284
fan gan 	反感	c=2 d=0.0188989 t=127284
fan guo lai 	反過來	c=1 d=0.000119762 t=127284
fan hao 	番號	c=1 d=1.01632e-14 t=127284
fan hua 	泛化	c=1 d=0.000898306 t=127284
fan hui 	返回	c=217 d=1.38963 t=127284
fan hui bian 	反汇编	c=1 d=0.0166557 t=127284
fan hui de 	返回的	c=1 d=2.92432e-36 t=127284
fan hui lai 	返回來	c=1 d=0.235746 t=127284
fan hui zhi 	返回值	c=36 d=1.89049 t=127284
fan kan 	翻看	c=1 d=1.59142e-25 t=127284
fan kui 	反饋	c=15 d=1.07695 t=127284
fan le 	反了	c=0 d=9.9123e-16 t=127284
fan le 	煩了	c=3 d=0.000439444 t=127284
fan le 	犯了	c=1 d=1.22878e-12 t=127284
fan le 	翻了	c=0 d=0.00468877 t=127284
fan le ba 	反了吧	c=1 d=9.96199e-15 t=127284
fan li 	範例	c=2 d=1.00214 t=126309
fan nao 	煩惱	c=1 d=0.00252883 t=127284
fan pai 	反派	c=1 d=0.036334 t=127284
fan qiang 	翻牆	c=1 d=1 t=124587
fan qie 	番茄	c=2 d=4.37401e-08 t=127284
fan qing 	煩請	c=1 d=1.23431e-06 t=127284
fan ren 	煩人	c=2 d=3.92906e-21 t=127284
fan she 	反射	c=1 d=0.603506 t=127284
fan shi 	凡是	c=1 d=1.12535e-07 t=127284
fan shi 	範式	c=4 d=0.540601 t=127284
fan suo 	繁瑣	c=1 d=0.00305798 t=127284
fan ti 	繁體	c=1 d=0.0103063 t=127284
fan wai 	番外	c=1 d=0.806541 t=127284
fan wei 	範圍	c=24 d=0.181772 t=127284
fan xiang 	反向	c=7 d=0.55991 t=127284
fan xiang 	反響	c=1 d=6.07047e-11 t=127284
fan xing 	泛型	c=20 d=0.632359 t=127284
fan yan 	反演	c=4 d=5.86474e-42 t=127284
fan yan lv 	反演律	c=1 d=1.39595e-42 t=127284
fan ye 	翻頁	c=1 d=0.0963276 t=127284
fan yi 	翻譯	c=154 d=1.65864 t=127284
fan yi jia 	翻譯家	c=1 d=1.14216e-05 t=127284
fan yi qian 	翻譯前	c=2 d=3.44815e-05 t=127284
fan yi xiao guo 	翻譯效果	c=1 d=1.05124e-29 t=127284
fan yi zhi qian 	翻譯之前	c=1 d=0.000188766 t=127284
fan ying 	反應	c=9 d=1.29917 t=127284
fan ying 	反映	c=2 d=0.00624456 t=127284
fan za 	繁雜	c=1 d=4.71789e-16 t=127284
fan zhe lai 	反着來	c=1 d=8.20684e-29 t=127284
fan zheng 	反正	c=13 d=0.0738096 t=127284
fan zhi 	反之	c=1 d=9.9569e-09 t=127284
fan zhuan 	反轉	c=1 d=0.373439 t=127284
fan zhuan le 	反轉了	c=1 d=8.08904e-06 t=127284
fan zi 	販子	c=2 d=2.89129e-20 t=127284
fang 	放	c=15 d=0.817863 t=127284
fang ai 	妨礙	c=1 d=1.8325e-08 t=127284
fang an 	方案	c=17 d=0.977536 t=127284
fang bian 	方便	c=20 d=1.0654 t=127284
fang bian le 	方便了	c=1 d=0.202909 t=127284
fang bian mian 	方便麪	c=2 d=9.34414e-17 t=127284
fang bo 	方波	c=1 d=1 t=124701
fang chu lai 	放出來	c=2 d=9.35125e-06 t=127284
fang dao 	放到	c=8 d=0.941765 t=127284
fang ding 	房頂	c=12 d=0.540641 t=127284
fang fa 	方法	c=141 d=1.69205 t=127284
fang fa 	訪法	c=7 d=0.212248 t=127284
fang fa ma 	方法嗎	c=1 d=0.00110269 t=127284
fang fa mei pu er gai 	方法沒譜兒該	c=1 d=1 t=126414
fang fa song 	放發送	c=1 d=6.3542e-19 t=127284
fang fo 	放佛	c=1 d=2.22547e-29 t=127284
fang fu 	彷彿	c=1 d=5.16395e-20 t=127284
fang ge 	放歌	c=1 d=0.000319102 t=127284
fang guo 	放過	c=1 d=0.00909528 t=127284
fang han shu 	仿函数	c=1 d=0.0254765 t=127284
fang jin 	放進	c=2 d=0.024234 t=127284
fang kai 	放開	c=5 d=0.666846 t=127284
fang kai lai 	放開來	c=0 d=0.000891518 t=127284
fang kuai 	方塊	c=1 d=1.76065e-08 t=127284
fang le 	放了	c=1 d=0.0495388 t=127284
fang mian 	方面	c=7 d=0.343009 t=127284
fang na 	放那	c=1 d=5.45499e-18 t=127284
fang qi 	放棄	c=17 d=0.937322 t=127284
fang qi le 	放棄了	c=4 d=0.865022 t=127284
fang ru 	放入	c=5 d=1.90884e-23 t=127284
fang shang qu 	放上去	c=1 d=0.0191587 t=127284
fang she ke 	放射科	c=0 d=9.37195e-07 t=127284
fang she ke dai lu jing fa lao sao diao jie fa le 	放射科帶路徑發牢騷調節閥了	c=1 d=5.55951e-06 t=127284
fang shi 	方式	c=54 d=1.59514 t=127284
fang song 	放鬆	c=2 d=0.434223 t=127284
fang wen 	訪問	c=74 d=1.86515 t=127284
fang wen er 	訪問而	c=1 d=6.10298e-15 t=127284
fang wen kong zhi 	访问控制	c=1 d=3.83206e-40 t=127284
fang wen quan xian 	訪問權限	c=1 d=4.63392e-40 t=127284
fang xiang 	方向	c=7 d=0.0610297 t=127284
fang xiang 	方箱	c=1 d=0.628135 t=127284
fang xin 	放心	c=6 d=0.516453 t=127284
fang xing 	放行	c=10 d=0.521977 t=127284
fang xing 	方形	c=2 d=0.00107619 t=127284
fang yan hua 	放煙花	c=1 d=0.0731678 t=127284
fang zai 	放在	c=37 d=1.14882 t=127284
fang zhen 	仿真	c=9 d=3.99013 t=127284
fang zhi 	放置	c=2 d=0.00479587 t=127284
fang zhi 	防止	c=12 d=0.438235 t=127284
fang zi 	房子	c=1 d=2.51143e-10 t=127284
fei 	廢	c=4 d=8.21789e-06 t=127284
fei 	費	c=8 d=0.600496 t=127284
fei 	非	c=73 d=3.55163 t=127284
fei 	飛	c=1 d=6.5727e-05 t=127284
fei bei 	非被	c=1 d=0.491644 t=127284
fei chang 	非常	c=13 d=0.0536652 t=127284
fei fa 	非法	c=11 d=0.00165327 t=127284
fei fa de 	非法的	c=1 d=4.56353e-07 t=127284
fei fan 	非凡	c=1 d=1.86952e-08 t=127284
fei fei yang yang 	沸沸揚揚	c=1 d=0.380983 t=127284
fei fu 	非負	c=2 d=8.11274e-11 t=127284
fei hua 	廢話	c=5 d=1.64981 t=127284
fei hua lian pian 	廢話連篇	c=1 d=1.54176e-05 t=127284
fei ji shen kuan da jiu fen li 	非機身寬大就分離	c=1 d=0.0713613 t=127284
fei jin 	費勁	c=4 d=0.13466 t=127284
fei ju 	非據	c=0 d=1.45772e-23 t=127284
fei ju bu 	非局部	c=1 d=1.47237e-22 t=127284
fei ju bu 	非據不	c=1 d=1.46502e-22 t=127284
fei kong 	非空	c=16 d=1.43447e-10 t=127284
fei kong zhi zhen 	非空指針	c=1 d=2.16418e-24 t=127284
fei le 	廢了	c=11 d=0.0107807 t=127284
fei ling 	非零	c=1 d=3.33041e-07 t=127284
fei mao 	飛貓	c=1 d=0.980199 t=127284
fei qi 	廢棄	c=2 d=3.46574e-05 t=127284
fei qi 	飛起	c=1 d=4.53999e-05 t=127284
fei sheng 	飛昇	c=1 d=2.33679e-15 t=127284
fei shi fan 	非師範	c=1 d=0.00414854 t=127284
fei shu 	飛書	c=3 d=0.251579 t=127284
fei shu zi 	非數字	c=1 d=1.17735e-09 t=127284
fei te quan 	非特權	c=2 d=1.12512e-38 t=127284
fei yong 	費用	c=1 d=0.214381 t=127284
fei zhou 	非洲	c=2 d=0.659861 t=127284
fei zu se 	非阻塞	c=1 d=0.0239928 t=127284
fen 	份	c=2 d=0.869358 t=127284
fen 	分	c=23 d=2.07312 t=127284
fen bian lv 	分辨率	c=5 d=0.177377 t=127284
fen bie 	分別	c=32 d=2.81858 t=127284
fen bu 	分佈	c=9 d=1.76033 t=127284
fen ceng 	分層	c=2 d=0.588605 t=127284
fen cha 	分叉	c=1 d=0.423162 t=127284
fen cheng 	分成	c=9 d=0.876479 t=127284
fen dian 	分點	c=1 d=0.0219278 t=127284
fen duo ge 	分多個	c=1 d=1.43949e-21 t=127284
fen ei 	分誒	c=1 d=5.49279e-11 t=127284
fen fa 	分發	c=2 d=0.211189 t=127284
fen fen 	分分	c=1 d=0.612626 t=127284
fen ge 	分割	c=9 d=0.88692 t=127284
fen ge 	分隔	c=13 d=0.0104099 t=127284
fen ge xian 	分割線	c=4 d=2.2705e-05 t=127284
fen gong 	分工	c=4 d=0.267089 t=127284
fen hao 	分號	c=4 d=0.154829 t=127284
fen hao a 	分好啊	c=1 d=0.0116786 t=127284
fen ji 	分級	c=1 d=2.48813e-18 t=127284
fen jie 	分界	c=2 d=0.0880368 t=127284
fen jie 	分解	c=2 d=4.13239e-21 t=127284
fen juan 	分卷	c=1 d=1 t=123972
fen kai 	分開	c=4 d=1.39304 t=127284
fen kuai 	分块	c=3 d=0.00985871 t=127284
fen lei 	分類	c=5 d=6.60565e-05 t=127284
fen li 	分離	c=12 d=0.406065 t=127284
fen lie 	分裂	c=1 d=0.0218184 t=127284
fen liu 	分流	c=1 d=0.666977 t=127284
fen ming 	分明	c=1 d=8.38145e-12 t=127284
fen pei 	分配	c=48 d=1.9205 t=127284
fen pei qi 	分配器	c=5 d=1.91886 t=127284
fen pi 	分批	c=1 d=0.0254765 t=127284
fen pie 	分撇	c=1 d=2.12856e-64 t=127284
fen qi 	分歧	c=3 d=0.0762125 t=127284
fen qu 	分區	c=10 d=0.865022 t=127284
fen san 	分散	c=1 d=0.0132336 t=127284
fen se 	粉色	c=3 d=2.7435 t=124499
fen shen 	分身	c=2 d=9.07172e-20 t=127284
fen shu 	分數	c=8 d=0.884696 t=127284
fen si 	粉絲	c=1 d=0.062662 t=127284
fen wei 	分爲	c=4 d=0.0195457 t=127284
fen wei 	氛圍	c=1 d=0.0196437 t=127284
fen xi 	分析	c=119 d=2.79182 t=127284
fen xi le 	分析了	c=1 d=3.50236e-11 t=127284
fen xi zong jie 	分析總結	c=1 d=0.00197932 t=127284
fen xiang 	分享	c=28 d=1.38149 t=127284
fen ye 	分頁	c=8 d=0.0489302 t=127284
fen zhi 	分之	c=1 d=1.94569e-66 t=127284
fen zhi 	分值	c=1 d=1.93598e-66 t=127284
fen zhi 	分支	c=129 d=1.48544 t=127284
fen zhi 	分枝	c=2 d=4.8366e-66 t=127284
fen zhong 	分鐘	c=6 d=0.00485428 t=127284
fen zu 	分組	c=19 d=1.02176 t=127284
feng 	封	c=5 d=4.99244e-05 t=127284
feng 	峯	c=1 d=3.2409e-10 t=127284
feng 	瘋	c=1 d=0.615697 t=127284
feng 	風	c=2 d=8.05007e-08 t=127284
feng bi 	封閉	c=1 d=4.29749e-65 t=127284
feng ci 	諷刺	c=1 d=2.92233e-28 t=127284
feng dao shuang jian 	風刀霜劍	c=0 d=2.41246e-38 t=127284
feng fu 	豐富	c=11 d=0.907653 t=127284
feng ge 	風格	c=42 d=1.92843 t=127284
feng guo 	風過	c=1 d=3.27459e-14 t=127284
feng hao 	封號	c=7 d=0.442639 t=127284
feng huang 	鳳凰	c=2 d=1.15479e-09 t=127284
feng le 	封了	c=2 d=3.59041e-09 t=127284
feng mian 	封面	c=9 d=1.13116 t=127284
feng suo 	封鎖	c=1 d=9.53174e-25 t=127284
feng tou 	風頭	c=2 d=1.08793e-08 t=127284
feng xi 	縫隙	c=2 d=4.00027e-16 t=127284
feng xian 	風險	c=10 d=0.207016 t=127284
feng xiang 	風向	c=1 d=0.0578443 t=127284
feng yi zu shi 	豐衣足食	c=1 d=0.000208619 t=127284
feng zheng 	風箏	c=1 d=0.000163287 t=127284
feng zhuang 	封裝	c=10 d=2.83971 t=127284
feng zhuang le 	封裝了	c=1 d=0.000102055 t=127284
feng zi 	瘋子	c=1 d=3.98655e-05 t=127284
fo 	佛	c=0 d=6.8103e-12 t=127284
fo zu 	佛祖	c=1 d=1.46328e-08 t=127284
fo zu e 	佛足額	c=1 d=6.84444e-11 t=127284
fou 	否	c=5 d=0.0706512 t=127284
fou ze 	否則	c=36 d=0.451319 t=127284
fu 	富	c=1 d=0.418952 t=127284
fu 	父	c=21 d=0.519936 t=127284
fu 	福	c=1 d=2.60628e-05 t=127284
fu 	符	c=10 d=0.0130027 t=127284
fu 	負	c=2 d=1.15982e-09 t=127284
fu an 	福安	c=0 d=1.56885e-05 t=127284
fu ben 	副本	c=4 d=0.640824 t=127284
fu ben 	複本	c=1 d=1.69184e-39 t=127284
fu biao ti 	副標題	c=1 d=4.20394e-12 t=127284
fu chuan 	符串	c=0 d=6.13232e-43 t=127284
fu chuang 	扶牀	c=0 d=2.33036e-13 t=127284
fu dai 	附帶	c=2 d=7.0189e-13 t=127284
fu dian 	浮點	c=6 d=0.383187 t=127284
fu dian shu 	浮點數	c=7 d=0.524663 t=127284
fu dian shu jiang fang kai lai 	浮點數將放開來	c=1 d=0.00895987 t=127284
fu fei 	付費	c=2 d=0.748264 t=127284
fu fei ma 	付費嗎	c=1 d=0.0253494 t=127284
fu ga 	父噶	c=1 d=0.477114 t=127284
fu gai 	覆蓋	c=27 d=1.57017 t=127284
fu gai lv 	覆蓋率	c=1 d=0.418952 t=127284
fu gu 	復古	c=1 d=0.0623495 t=127284
fu hao 	符號	c=20 d=1.08695 t=127284
fu hao biao 	符號表	c=2 d=0.0160829 t=127284
fu he 	符合	c=38 d=2.16404 t=127284
fu he 	複合	c=8 d=0.136014 t=127284
fu he lei xing 	複合類型	c=1 d=0.0015648 t=127284
fu huo 	復活	c=3 d=1.6957e-07 t=127284
fu huo jie 	復活節	c=0 d=0.0995012 t=127284
fu huo jie kan lai 	復活節看來	c=1 d=1 t=127284
fu huo le 	復活了	c=1 d=1.12903e-16 t=127284
fu ji ei dan na 	父即誒單那	c=1 d=0.0257325 t=127284
fu jia 	附加	c=12 d=0.106729 t=127284
fu jia can shu 	附加參數	c=1 d=2.71441e-42 t=127284
fu jia lv shun kou da jia fei 	附加旅順口大家非	c=1 d=1.67449e-06 t=127284
fu jian 	福建	c=1 d=7.81215e-08 t=127284
fu jian 	附件	c=4 d=0.113487 t=127284
fu jian sheng 	福建省	c=0 d=1.65783e-07 t=127284
fu jian sheng lao dong fa jia le fu 	福建省勞動法家樂福	c=1 d=1.66614e-06 t=127284
fu jie dian 	父節點	c=1 d=0.0118551 t=127284
fu jin 	附近	c=4 d=0.00719046 t=127284
fu jin cheng 	父進程	c=10 d=0.0164078 t=127284
fu ka 	副卡	c=1 d=0.551563 t=127284
fu ke 	復刻	c=1 d=4.9804e-06 t=127284
fu ke di guo 	富可敵國	c=1 d=0.0116203 t=127284
fu lan ke 	弗蘭克	c=0 d=2.16087e-07 t=127284
fu le 	服了	c=4 d=0.43794 t=127284
fu lei 	弗雷	c=1 d=0.00416933 t=127284
fu lei 	父类	c=8 d=0.358101 t=127284
fu li 	福利	c=7 d=0.00318562 t=127284
fu lu 	附錄	c=4 d=0.0115047 t=127284
fu lu ta ta er 	附錄塔塔爾	c=1 d=2.00992e-07 t=127284
fu mo 	撫摸	c=1 d=0.904837 t=127284
fu mu 	父母	c=1 d=0.355226 t=127284
fu mu lu 	父目錄	c=4 d=2.00128 t=127284
fu qi 	服氣	c=1 d=1.61327e-09 t=127284
fu rong qi 	父容器	c=1 d=0.000395642 t=127284
fu shang 	附上	c=2 d=3.81858e-18 t=127284
fu shu 	負數	c=10 d=0.145859 t=127284
fu shu 	附屬	c=0 d=5.93572e-42 t=127284
fu shu zu 	附屬組	c=2 d=6.85214e-39 t=127284
fu wei 	復位	c=1 d=0.100259 t=127284
fu wen ben 	富文本	c=1 d=2.58923e-16 t=127284
fu wu 	服務	c=75 d=4.3805 t=127284
fu wu duan 	服務端	c=6 d=0.911993 t=127284
fu wu qi 	服務器	c=72 d=2.70063 t=127284
fu wu shang 	服務商	c=5 d=0.0951957 t=127284
fu xi 	複習	c=8 d=2.16382e-05 t=127284
fu xian 	復現	c=1 d=7.67598e-07 t=127284
fu xian 	浮現	c=1 d=8.31529e-07 t=127284
fu xie 	複寫	c=1 d=1.95019e-05 t=127284
fu xie 	覆寫	c=3 d=0.0816756 t=127284
fu xing 	復興	c=1 d=1.95923e-30 t=127284
fu yong 	復用	c=14 d=1.39966 t=127284
fu yong 	服用	c=1 d=3.68632e-25 t=127284
fu yong le 	復用了	c=1 d=0.174645 t=127284
fu you 	富有	c=2 d=2.35907e-09 t=127284
fu yu 	賦予	c=3 d=0.657033 t=127284
fu za 	複雜	c=31 d=1.69411 t=127284
fu za du 	複雜度	c=2 d=0.000609788 t=127284
fu za le 	複雜了	c=2 d=0.10383 t=127284
fu zai 	負載	c=2 d=0.000208619 t=127284
fu ze 	負責	c=13 d=0.128093 t=127284
fu ze ren 	負責人	c=1 d=0.136695 t=127284
fu ze ren 	負責任	c=1 d=0.137381 t=127284
fu zeng 	附贈	c=1 d=1.14255e-09 t=127284
fu zhi 	複製	c=43 d=1.41509 t=127284
